star_id,tmass_id,tmass_distance,tmass_angle,ra,dec,start_time,end_time,jmag,hmag,kmag,lcfilter,npts
XO-DR1_1201,2MASS J15494936+2743516,10.231689,-108.77964,237.4587,27.7319,2453080.14,2453566.05,9.508,8.814,8.652,W (XO),2906
XO-DR1_1202,2MASS J16105343+3303468,4.389112,20.228199,242.7221,33.0619,2453080.14,2453566.05,10.559,10.227,10.157,W (XO),2911
XO-DR1_1203,2MASS J15440766+3121097,5.929174,120.54351,236.0303,31.3535,2453080.14,2453566.05,10.805,10.544,10.496,W (XO),2831
XO-DR1_1204,2MASS J15592059+3330326,4.156974,4.597248,239.8357,33.5079,2453080.14,2453566.05,10.015,9.495,9.383,W (XO),2913
XO-DR1_1205,2MASS J15483246+2934388,3.291406,-6.719063,237.1354,29.5765,2453080.14,2453566.05,10.45,10.07,9.949,W (XO),2887
XO-DR1_1206,2MASS J15581948+2929354,2.799521,54.46183,239.5804,29.4927,2453080.14,2453566.05,10.753,10.526,10.461,W (XO),2904
XO-DR1_1207,2MASS J16104061+3416341,6.343568,28.943935,242.6682,34.2746,2453080.14,2453566.05,11.128,10.85,10.813,W (XO),2802
XO-DR1_1209,2MASS J15514056+3134198,2.301695,164.46405,237.9188,31.5728,2453080.14,2453566.05,9.733,9.069,8.921,W (XO),2919
XO-DR1_1210,2MASS J15532310+3108199,1.276593,119.385208,238.3459,31.1391,2453080.14,2453566.05,10.227,9.787,9.656,W (XO),2897
XO-DR1_1211,2MASS J16143808+2803217,10.345379,73.669273,243.6556,28.0552,2453080.14,2453566.05,11.503,11.231,11.193,W (XO),2938
XO-DR1_1215,2MASS J15524659+3103228,1.682874,160.628326,238.194,31.0568,2453080.14,2453566.05,10.821,10.523,10.481,W (XO),2925
XO-DR1_1216,2MASS J16055760+3256551,4.465688,55.757599,241.4888,32.948,2453080.14,2453566.05,9.806,9.193,9.078,W (XO),2896
XO-DR1_1217,2MASS J15525916+3409501,11.227902,-44.118713,238.2491,34.1617,2453080.14,2453566.05,9.975,9.457,9.347,W (XO),2878
XO-DR1_1218,2MASS J15461919+2818086,4.487163,-107.653496,236.5813,28.3028,2453080.14,2453566.05,10.769,10.412,10.347,W (XO),2813
XO-DR1_121,2MASS J16092076+2810441,8.672822,111.833511,242.334,28.1798,2453080.14,2453566.05,8.107,7.832,7.746,W (XO),3427
XO-DR1_1220,2MASS J16095424+3413446,18.219803,34.657581,242.4726,34.2249,2453080.14,2453566.05,10.802,10.554,10.485,W (XO),2855
XO-DR1_1221,2MASS J16140648+3148209,7.809342,-79.400375,243.5295,31.8054,2453080.14,2453566.05,10.602,10.315,10.224,W (XO),2924
XO-DR1_1222,2MASS J16033802+3315202,5.678903,80.402184,240.9066,33.2554,2453080.14,2453566.05,11.056,10.754,10.69,W (XO),2810
XO-DR1_1223,2MASS J15550537+2901553,5.469957,-24.006414,238.7731,29.0306,2453080.14,2453566.05,10.755,10.468,10.399,W (XO),2767
XO-DR1_1225,2MASS J16115213+2725542,15.701352,132.792465,242.9636,27.4347,2453080.14,2453564.92,10.777,10.528,10.482,W (XO),1741
XO-DR1_1226,2MASS J15463321+3355422,12.086784,-68.544907,236.6422,33.9272,2453080.14,2453566.05,10.555,10.229,10.171,W (XO),2813
XO-DR1_1227,2MASS J16033680+3302220,3.852616,65.428635,240.9022,33.039,2453080.14,2453566.05,10.819,10.609,10.548,W (XO),2892
XO-DR1_1229,2MASS J16032381+2947255,2.68067,-72.654228,240.85,29.7902,2453080.14,2453566.05,16.15,13.944,14.007,W (XO),2340
XO-DR1_122,2MASS J15520648+2903440,2.400722,-56.609932,238.0277,29.0619,2453080.14,2453566.05,8.304,8.054,8.018,W (XO),3425
XO-DR1_1230,2MASS J15555525+3118345,3.835696,158.305161,238.9798,31.3106,2453080.14,2453566.05,10.011,9.458,9.306,W (XO),2808
XO-DR1_1231,2MASS J16033448+3152144,1.972816,97.338631,240.893,31.8708,2453080.14,2453566.05,10.21,9.735,9.613,W (XO),2840
XO-DR1_1232,2MASS J15490476+3330546,7.328347,-75.896889,237.2722,33.5147,2453080.14,2453566.05,10.861,10.668,10.612,W (XO),2837
XO-DR1_1233,,,,241.1156,33.3268,2453080.14,2453566.05,,,,W (XO),2806
XO-DR1_1234,2MASS J16122163+2738563,12.540695,124.857445,243.0869,27.651,2453080.14,2453566.05,10.383,10.001,9.887,W (XO),2842
XO-DR1_1235,2MASS J15583924+2830523,1.405573,106.058052,239.6631,28.5146,2453080.14,2453566.05,10.868,10.666,10.636,W (XO),2869
XO-DR1_1238,2MASS J15432761+2902009,3.21286,30.496096,235.8646,29.0328,2453080.14,2453566.05,10.759,10.479,10.437,W (XO),2775
XO-DR1_123,2MASS J15512668+2921240,1.934145,-14.563443,237.8614,29.3561,2453080.14,2453566.05,8.762,8.642,8.627,W (XO),3422
XO-DR1_1240,2MASS J15522891+3309380,4.912616,-93.528671,238.1221,33.1607,2453080.14,2453566.05,10.627,10.252,10.217,W (XO),2837
XO-DR1_1242,2MASS J16092517+2732304,13.175658,107.621346,242.351,27.5429,2453080.14,2453566.04,11.046,10.76,10.73,W (XO),2503
XO-DR1_1243,2MASS J16060850+3011599,9.981095,27.999432,241.5339,30.1975,2453080.14,2453566.05,9.587,8.746,8.582,W (XO),2870
XO-DR1_1244,2MASS J15530886+3041121,1.506866,74.053223,238.2865,30.6866,2453080.14,2453566.05,10.584,10.239,10.168,W (XO),2856
XO-DR1_1245,2MASS J15502500+3209215,1.975969,-161.660095,237.6044,32.1565,2453080.14,2453566.05,10.676,10.391,10.323,W (XO),2835
XO-DR1_1246,,,,236.1622,29.2517,2453080.14,2453566.05,,,,W (XO),2758
